age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,native-country,income,age_group,has_capital_gain,has_capital_loss,net_capital,work_intensity,education_level,hours-per-week
-0.1895873015044348,4,-0.5893414576437641,11,-0.42067867775489204,5,1,1,4,0,-0.1459754370534408,-0.21674317109092342,39,0,1,0,0,-0.1337202974562568,1,2,38
0.9836246955570764,4,-0.7157686198188823,11,-0.42067867775489204,0,3,1,4,1,0.30408821463534486,-0.21674317109092342,39,0,2,1,0,0.3149034277269223,1,2,40
-0.33623880113712373,4,0.1897321790344559,15,-0.03181472883273734,2,1,0,4,1,-0.1459754370534408,-0.21674317109092342,39,1,0,0,0,-0.1337202974562568,1,3,40
1.1302761951897653,4,-0.06189055812336647,11,-0.42067867775489204,0,14,1,2,1,-0.1459754370534408,-0.21674317109092342,39,0,2,0,0,-0.1337202974562568,1,2,40
-0.6295418004025015,4,-1.0092179527806124,11,-0.42067867775489204,2,10,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,0,0,0,-0.1337202974562568,2,2,55
-0.33623880113712373,4,-1.5382699156511483,6,-1.976134473443511,2,3,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,0,0,0,-0.1337202974562568,2,2,50
1.2769276948224542,4,-0.8655485699116976,11,-0.42067867775489204,0,14,1,4,1,-0.1459754370534408,-0.21674317109092342,39,0,2,0,0,-0.1337202974562568,1,2,30
1.8635336933532098,4,0.7188694056336974,11,-0.42067867775489204,2,14,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,2,0,0,-0.1337202974562568,1,2,40
0.5436701966590097,4,-0.659845087535651,9,1.1347771179337267,2,8,0,4,1,-0.1459754370534408,-0.21674317109092342,39,1,1,0,0,-0.1337202974562568,1,3,30
0.3236929472099763,4,-0.01944816872325185,15,-0.03181472883273734,2,10,5,4,0,-0.1459754370534408,4.464528020572285,39,1,1,0,1,-0.38832269427450006,2,3,50
0.17704144757728743,4,-0.5624833831015041,11,-0.42067867775489204,0,12,4,2,0,-0.1459754370534408,-0.21674317109092342,39,0,1,0,0,-0.1337202974562568,1,2,38
-0.6295418004025015,2,-0.23957069499817668,15,-0.03181472883273734,4,1,3,4,0,-0.1459754370534408,-0.21674317109092342,39,0,0,0,0,-0.1337202974562568,3,3,10
2.0101851929858987,4,0.2565031523585648,12,1.5236410668558815,2,12,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,2,0,0,-0.1337202974562568,2,3,50
-0.6295418004025015,4,-0.6309785784949926,0,-1.587270524521356,4,3,1,4,1,-0.1459754370534408,-0.21674317109092342,39,0,0,0,0,-0.1337202974562568,2,2,50
0.17704144757728743,2,0.3587059418336623,15,-0.03181472883273734,2,3,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,1,0,0,-0.1337202974562568,1,3,40
-0.8495190498515349,4,-0.2233042703106774,11,-0.42067867775489204,0,3,1,4,1,-0.1459754370534408,-0.21674317109092342,39,0,0,0,0,-0.1337202974562568,2,2,50
0.8369731959243876,2,-0.8878687193372935,11,-0.42067867775489204,2,11,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,1,0,0,-0.1337202974562568,1,2,40
-0.7761933000351905,4,0.7909456776328206,15,-0.03181472883273734,4,3,1,2,1,-0.1459754370534408,-0.21674317109092342,39,0,0,0,0,-0.1337202974562568,1,3,40
0.8369731959243876,4,-1.0598835551269992,9,1.1347771179337267,0,1,1,4,0,-0.1459754370534408,-0.21674317109092342,39,0,1,0,0,-0.1337202974562568,3,3,8
1.1302761951897653,2,0.8495218592535592,11,-0.42067867775489204,2,5,0,4,1,-0.1459754370534408,-0.21674317109092342,39,0,2,0,0,-0.1337202974562568,1,2,40
-1.0694962993005683,4,-1.4467250922642492,15,-0.03181472883273734,4,3,1,4,1,-0.1459754370534408,-0.21674317109092342,39,0,3,0,0,-0.1337202974562568,1,3,40
-0.9961705494842238,4,-0.042573586697733944,15,-0.03181472883273734,4,1,1,4,1,-0.1459754370534408,-0.21674317109092342,39,0,3,0,0,-0.1337202974562568,1,3,40
